Layer;category;x_min_m;y_min_m;x_max_m;y_max_m;prob_mean;x_center_m;y_center_m;cell_km
Offtake;Greenhouse;4650000;1560000;4680000;1590000;75,07351;4665000;1575000;30
Offtake;Greenhouse;3570000;2820000;3600000;2850000;75,1157;3585000;2835000;30
Offtake;Greenhouse;3780000;3060000;3810000;3090000;75,13043;3795000;3075000;30
Offtake;Greenhouse;3840000;2610000;3870000;2640000;75,166664;3855000;2625000;30
Offtake;Greenhouse;3510000;2610000;3540000;2640000;75,19162;3525000;2625000;30
Offtake;Greenhouse;4230000;1920000;4260000;1950000;75,22857;4245000;1935000;30
Offtake;Greenhouse;4230000;3450000;4260000;3480000;75,22992;4245000;3465000;30
Offtake;Greenhouse;5100000;2550000;5130000;2580000;75,24561;5115000;2565000;30
Offtake;Greenhouse;3930000;2250000;3960000;2280000;75,24809;3945000;2265000;30
Offtake;Greenhouse;4170000;3210000;4200000;3240000;75,27273;4185000;3225000;30
Offtake;Greenhouse;4650000;3300000;4680000;3330000;75,290695;4665000;3315000;30
Offtake;Greenhouse;5100000;3210000;5130000;3240000;75,3;5115000;3225000;30
Offtake;Greenhouse;3570000;3120000;3600000;3150000;75,320335;3585000;3135000;30
Offtake;Greenhouse;3270000;1770000;3300000;1800000;75,33575;3285000;1785000;30
Offtake;Greenhouse;4320000;2460000;4350000;2490000;75,35724;4335000;2475000;30
Offtake;Greenhouse;4470000;3120000;4500000;3150000;75,36805;4485000;3135000;30
Offtake;Greenhouse;4080000;2580000;4110000;2610000;75,39503;4095000;2595000;30
Offtake;Greenhouse;3510000;3330000;3540000;3360000;75,410255;3525000;3345000;30
Offtake;Greenhouse;3420000;2880000;3450000;2910000;75,44681;3435000;2895000;30
Offtake;Greenhouse;4680000;1560000;4710000;1590000;75,48646;4695000;1575000;30
Offtake;Greenhouse;3420000;3270000;3450000;3300000;75,547485;3435000;3285000;30
Offtake;Greenhouse;3360000;2910000;3390000;2940000;75,59814;3375000;2925000;30
Offtake;Greenhouse;4410000;2130000;4440000;2160000;75,60448;4425000;2145000;30
Offtake;Greenhouse;4320000;3450000;4350000;3480000;75,625;4335000;3465000;30
Offtake;Greenhouse;5490000;2250000;5520000;2280000;75,63799;5505000;2265000;30
Offtake;Greenhouse;5160000;2640000;5190000;2670000;75,66471;5175000;2655000;30
Offtake;Greenhouse;3720000;2760000;3750000;2790000;75,684494;3735000;2775000;30
Offtake;Greenhouse;4260000;2160000;4290000;2190000;75,6895;4275000;2175000;30
Offtake;Greenhouse;4080000;2610000;4110000;2640000;75,75576;4095000;2625000;30
Offtake;Greenhouse;4470000;3630000;4500000;3660000;75,76867;4485000;3645000;30
Offtake;Greenhouse;4620000;1980000;4650000;2010000;75,77778;4635000;1995000;30
Offtake;Greenhouse;4200000;3180000;4230000;3210000;75,78432;4215000;3195000;30
Offtake;Greenhouse;3690000;1860000;3720000;1890000;75,785065;3705000;1875000;30
Offtake;Greenhouse;2670000;1740000;2700000;1770000;75,807014;2685000;1755000;30
Offtake;Greenhouse;4290000;2940000;4320000;2970000;75,81287;4305000;2955000;30
Offtake;Greenhouse;5580000;2220000;5610000;2250000;75,84286;5595000;2235000;30
Offtake;Greenhouse;4410000;2730000;4440000;2760000;75,854546;4425000;2745000;30
Offtake;Greenhouse;3600000;2820000;3630000;2850000;75,88613;3615000;2835000;30
Offtake;Greenhouse;3810000;2880000;3840000;2910000;75,88983;3825000;2895000;30
Offtake;Greenhouse;3960000;3270000;3990000;3300000;75,91855;3975000;3285000;30
Offtake;Greenhouse;5190000;3450000;5220000;3480000;75,94444;5205000;3465000;30
Offtake;Greenhouse;3600000;2790000;3630000;2820000;75,95946;3615000;2805000;30
Offtake;Greenhouse;3210000;1710000;3240000;1740000;75,96667;3225000;1725000;30
Offtake;Greenhouse;5610000;2820000;5640000;2850000;75,98182;5625000;2835000;30
Offtake;Greenhouse;4020000;2220000;4050000;2250000;76,04145;4035000;2235000;30
Offtake;Greenhouse;4890000;2790000;4920000;2820000;76,05;4905000;2805000;30
Offtake;Greenhouse;4500000;2820000;4530000;2850000;76,11176;4515000;2835000;30
Offtake;Greenhouse;4560000;2790000;4590000;2820000;76,129944;4575000;2805000;30
Offtake;Greenhouse;4290000;3720000;4320000;3750000;76,14815;4305000;3735000;30
Offtake;Greenhouse;4890000;3360000;4920000;3390000;76,19643;4905000;3375000;30
Offtake;Greenhouse;4290000;2430000;4320000;2460000;76,21683;4305000;2445000;30
Offtake;Greenhouse;4170000;3240000;4200000;3270000;76,23077;4185000;3255000;30
Offtake;Greenhouse;3990000;2520000;4020000;2550000;76,25203;4005000;2535000;30
Offtake;Greenhouse;5310000;4530000;5340000;4560000;76,27885;5325000;4545000;30
Offtake;Greenhouse;3390000;2790000;3420000;2820000;76,28571;3405000;2805000;30
Offtake;Greenhouse;4740000;3120000;4770000;3150000;76,30653;4755000;3135000;30
Offtake;Greenhouse;3600000;2340000;3630000;2370000;76,34146;3615000;2355000;30
Offtake;Greenhouse;4320000;2730000;4350000;2760000;76,34319;4335000;2745000;30
Offtake;Greenhouse;4380000;2790000;4410000;2820000;76,372955;4395000;2805000;30
Offtake;Greenhouse;3390000;3180000;3420000;3210000;76,37594;3405000;3195000;30
Offtake;Greenhouse;3240000;2880000;3270000;2910000;76,381645;3255000;2895000;30
Offtake;Greenhouse;3900000;3060000;3930000;3090000;76,40659;3915000;3075000;30
Offtake;Greenhouse;2910000;2070000;2940000;2100000;76,408165;2925000;2085000;30
Offtake;Greenhouse;4170000;1830000;4200000;1860000;76,531425;4185000;1845000;30
Offtake;Greenhouse;3540000;2790000;3570000;2820000;76,532845;3555000;2805000;30
Offtake;Greenhouse;3060000;4980000;3090000;5010000;76,53704;3075000;4995000;30
Offtake;Greenhouse;3510000;1980000;3540000;2010000;76,5375;3525000;1995000;30
Offtake;Greenhouse;3570000;3510000;3600000;3540000;76,54794;3585000;3525000;30
Offtake;Greenhouse;3990000;3150000;4020000;3180000;76,55556;4005000;3165000;30
Offtake;Greenhouse;5310000;1710000;5340000;1740000;76,600136;5325000;1725000;30
Offtake;Greenhouse;3780000;2310000;3810000;2340000;76,64948;3795000;2325000;30
Offtake;Greenhouse;4050000;3120000;4080000;3150000;76,6563;4065000;3135000;30
Offtake;Greenhouse;4710000;1950000;4740000;1980000;76,68555;4725000;1965000;30
Offtake;Greenhouse;4740000;3090000;4770000;3120000;76,72115;4755000;3105000;30
Offtake;Greenhouse;3600000;2730000;3630000;2760000;76,721214;3615000;2745000;30
Offtake;Greenhouse;4920000;1800000;4950000;1830000;76,77631;4935000;1815000;30
Offtake;Greenhouse;3510000;2820000;3540000;2850000;76,78195;3525000;2835000;30
Offtake;Greenhouse;3630000;3300000;3660000;3330000;76,818474;3645000;3315000;30
Offtake;Greenhouse;3930000;3120000;3960000;3150000;76,9042;3945000;3135000;30
Offtake;Greenhouse;4620000;3390000;4650000;3420000;76,922226;4635000;3405000;30
Offtake;Greenhouse;3570000;3360000;3600000;3390000;76,92391;3585000;3375000;30
Offtake;Greenhouse;4470000;3660000;4500000;3690000;76,93569;4485000;3675000;30
Offtake;Greenhouse;4260000;2460000;4290000;2490000;77;4275000;2475000;30
Offtake;Greenhouse;3450000;2730000;3480000;2760000;77,01127;3465000;2745000;30
Offtake;Greenhouse;3780000;2790000;3810000;2820000;77,03278;3795000;2805000;30
Offtake;Greenhouse;4560000;3570000;4590000;3600000;77,04651;4575000;3585000;30
Offtake;Greenhouse;3720000;2190000;3750000;2220000;77,05255;3735000;2205000;30
Offtake;Greenhouse;4050000;3150000;4080000;3180000;77,054924;4065000;3165000;30
Offtake;Greenhouse;2640000;1920000;2670000;1950000;77,117645;2655000;1935000;30
Offtake;Greenhouse;4350000;2400000;4380000;2430000;77,150055;4365000;2415000;30
