Layer;category;techno;latitude;longitude;operator;capacite_gwh_year;site_info;operational_status;co2_injection_potential_tpy;municipality;eiffel;eiffel_project_name;capacity_kt_per_year
Supply;Biomethane;Biomethane;37,49147222;14,06244444;N/A;43,8;"Grid connection type: N/A; Upgrading process: WAS - Water Scrubbing";Operational;N/A;CALTANISSETTA;0;N/A;N/A
Supply;Biomethane;Biomethane;37,50916667;13,08888889;N/A;43,8;"Grid connection type: N/A; Upgrading process: N/A";Operational;N/A;SCIACCA;0;N/A;N/A
Supply;Biomethane;Biomethane;37,63333333;14,41666667;Società Agricola Assoro Biometano;43,8;"Grid connection type: No connection; Upgrading process: PSA - Pressure Swing Adsorption";Operational;N/A;Assoro;0;N/A;N/A
Supply;Biomethane;Biomethane;37,79805556;12,43416667;N/A;70,08;"Grid connection type: N/A; Upgrading process: N/A";Operational;N/A;MARSALA;0;N/A;N/A
Supply;Biomethane;Bio-CNG;38,82583333;-9,144444444;Hidrogasmove;14,45;"Grid connection type: N/A; Upgrading process: PSA - Pressure Swing Adsorption";Operational;N/A;Frielas, Loures;0;N/A;N/A
Supply;Biomethane;Biomethane;38,96666667;16,3;N/A;8,76;"Grid connection type: N/A; Upgrading process: N/A";Operational;N/A;LAMEZIA TERME;0;N/A;N/A
Supply;Biomethane;Bio-CNG;39,01666667;-8,966666667;N/A;48,18;"Grid connection type: N/A; Upgrading process: MEM - Membrane Separation";Operational;N/A;Carregado;0;N/A;N/A
Supply;Biomethane;Biomethane;39,3133;16,1433;N/A;44,5;"Grid connection type: N/A; Upgrading process: MEM - Membrane Separation";Operational;N/A;RENDE;0;N/A;N/A
Supply;Biomethane;Biomethane;39,33333333;16,18333333;N/A;44,5;"Grid connection type: N/A; Upgrading process: MEM - Membrane Separation";Operational;N/A;RENDE;0;N/A;N/A
Supply;Biomethane;Biomethane;39,3533;16,1633;N/A;31,01;"Grid connection type: N/A; Upgrading process: MEM - Membrane Separation";Operational;N/A;RENDE;0;N/A;N/A
Supply;Biomethane;Biomethane;39,74194444;-4,183888889;Montes de Toledo;21,9;"Grid connection type: Distribution; Upgrading process: N/A";Operational;N/A;Noez;0;N/A;N/A
Supply;Biomethane;Bio-CNG;39,74305556;-8,806944444;N/A;107,75;"Grid connection type: Distribution; Upgrading process: N/A";Operational;N/A;Leiria;0;N/A;N/A
Supply;Biomethane;Biomethane;40,25;18,28333333;N/A;23,65;"Grid connection type: N/A; Upgrading process: N/A";Operational;N/A;CALIMERA;0;N/A;N/A
Supply;Biomethane;Biomethane;40,41694444;-3,703333333;Valdemingómez;175,2;"Grid connection type: Transport; Upgrading process: PSA - Pressure Swing Adsorption";Operational;N/A;Madrid;0;N/A;N/A
